1,1,610.06,40.06,29.00,38.00,1,-1,-1,-1
1,2,413.21,130.63,26.00,65.00,1,-1,-1,-1
1,3,542.10,35.09,61.00,48.00,1,-1,-1,-1
1,4,519.39,199.02,43.70,72.83,1,-1,-1,-1
1,5,218.95,182.96,35.81,69.73,1,-1,-1,-1
2,1,610.11,40.12,29.00,38.00,1,-1,-1,-1
2,2,410.08,132.22,25.49,63.73,1,-1,-1,-1
2,3,542.20,35.17,61.00,48.00,1,-1,-1,-1
2,4,506.25,199.15,43.70,72.83,1,-1,-1,-1
2,5,231.38,181.77,35.81,69.73,1,-1,-1,-1
3,1,610.20,40.13,29.00,38.00,1,-1,-1,-1
3,2,409.53,133.87,24.50,61.25,1,-1,-1,-1
3,3,542.30,35.26,61.00,48.00,1,-1,-1,-1
3,4,499.15,200.23,42.00,70.00,1,-1,-1,-1
3,5,238.68,177.73,36.52,71.13,1,-1,-1,-1
4,1,610.28,40.14,29.00,38.00,1,-1,-1,-1
4,2,408.55,135.59,24.02,60.05,1,-1,-1,-1
4,3,542.39,35.34,61.00,48.00,1,-1,-1,-1
4,4,489.71,197.50,44.57,74.28,1,-1,-1,-1
4,5,243.76,177.75,35.11,68.36,1,-1,-1,-1
5,1,610.37,40.16,29.00,38.00,1,-1,-1,-1
5,2,404.77,136.56,24.02,60.05,1,-1,-1,-1
5,3,542.47,35.43,61.00,48.00,1,-1,-1,-1
5,4,484.17,198.49,44.57,74.28,1,-1,-1,-1
5,5,245.58,179.10,35.11,68.36,1,-1,-1,-1
6,1,610.43,40.18,29.00,38.00,1,-1,-1,-1
6,2,400.90,137.41,23.55,58.87,1,-1,-1,-1
6,3,541.95,35.03,62.22,48.96,1,-1,-1,-1
6,4,476.97,193.03,45.46,75.77,1,-1,-1,-1
6,5,248.99,180.39,33.74,65.71,1,-1,-1,-1
7,1,610.54,40.23,29.00,38.00,1,-1,-1,-1
7,2,399.03,139.54,22.63,56.59,1,-1,-1,-1
7,3,542.04,35.68,61.00,48.00,1,-1,-1,-1
7,4,468.83,197.28,44.57,74.28,1,-1,-1,-1
7,5,256.22,179.87,34.42,67.02,1,-1,-1,-1
8,1,609.81,40.35,29.00,38.00,1,-1,-1,-1
8,2,395.59,139.53,23.09,57.72,1,-1,-1,-1
8,3,542.13,35.83,61.00,48.00,1,-1,-1,-1
8,4,459.01,194.25,48.24,80.41,1,-1,-1,-1
8,5,256.16,174.48,35.11,68.36,1,-1,-1,-1
8,6,625.00,285.00,15.00,57.00,1,-1,-1,-1
9,1,609.87,40.45,29.00,38.00,1,-1,-1,-1
9,2,389.53,140.61,22.63,56.59,1,-1,-1,-1
9,3,542.21,35.98,61.00,48.00,1,-1,-1,-1
9,4,445.83,195.90,47.30,78.83,1,-1,-1,-1
9,5,264.42,175.67,33.74,65.71,1,-1,-1,-1
9,6,620.64,283.42,15.61,59.30,1,-1,-1,-1
10,1,609.91,40.55,29.00,38.00,1,-1,-1,-1
10,2,388.39,141.99,22.63,56.59,1,-1,-1,-1
10,3,543.48,37.06,58.63,46.14,1,-1,-1,-1
10,4,439.98,191.32,47.30,78.83,1,-1,-1,-1
10,5,268.37,175.31,33.08,64.42,1,-1,-1,-1
10,6,623.02,266.73,15.61,59.30,1,-1,-1,-1
11,1,609.96,40.58,29.00,38.00,1,-1,-1,-1
11,2,385.25,142.37,22.63,56.59,1,-1,-1,-1
11,3,542.29,35.29,61.00,48.00,1,-1,-1,-1
11,4,430.97,195.79,47.30,78.83,1,-1,-1,-1
11,5,272.78,172.33,33.74,65.71,1,-1,-1,-1
